UMAP_1,UMAP_2,Outlier_Level
5.554324,6.7608123,0
5.5360003,6.7432995,0
11.707414,11.211379,0
9.021486,3.1850708,0
6.7331123,0.710112,0
8.426716,0.30995446,0
8.478204,6.341205,0
11.025293,-0.52039856,0
12.522717,7.730897,0
6.104904,2.4459472,0
8.593914,5.498424,0
10.43872,11.650779,0
11.86941,8.926763,0
1.3533101,-0.5085572,0
5.3041005,5.1464605,0
11.53057,9.96508,0
12.630583,-0.6495858,0
8.489676,1.3089812,0
11.545045,9.950206,0
11.892867,3.8456588,0
10.015414,12.473029,0
7.4461646,8.293324,0
15.669108,13.812822,0
5.9519873,0.14705524,0
10.2585745,11.183341,0
12.363818,2.6513648,0
6.0048842,0.21930389,0
10.263967,11.119765,0
-0.18742132,0.74472797,2
5.720712,-0.17733718,0
12.674097,8.697417,0
11.344355,6.765137,0
8.412988,8.048344,0
6.231895,-3.8037002,0
8.05086,-3.8763518,0
10.245748,-2.470015,0
11.372841,6.3124037,0
11.054263,-1.4014577,0
6.8815804,-4.4880695,0
10.957536,11.4907675,0
10.268494,11.737488,0
10.131024,12.445013,0
10.118353,12.0822115,0
12.4187765,8.632337,0
11.877243,8.935343,0
6.152385,-0.20431687,0
6.1256194,-0.060710765,0
6.697394,0.15884037,0
6.352838,0.6432401,0
5.759298,-0.12635222,0
15.60051,13.952543,0
6.116646,0.38696957,0
5.7993755,0.05022822,0
6.7223644,1.03219,0
6.268666,0.5555742,0
6.286294,0.537119,0
10.689175,6.9793653,0
5.7543273,-0.116397195,0
5.674466,-0.24847332,0
5.751916,-0.0988146,0
6.955339,1.2579733,0
10.263618,11.115513,0
6.484704,0.7662455,0
8.931546,-2.7266076,0
9.58038,4.0489025,0
13.079361,2.3097115,0
9.011109,-8.825152,0
9.615922,4.657187,0
8.180608,7.586858,0
10.62936,0.08948967,0
8.394701,0.09353566,0
8.527063,1.0466506,0
12.033934,9.573824,0
11.470219,10.0472765,0
5.964601,0.16427886,0
6.2265735,0.48326907,0
6.9382935,1.2257963,0
9.991745,12.670637,0
5.81345,0.0049537495,0
6.7148633,0.9699119,0
9.745118,7.0931096,0
6.5020766,0.76223373,0
8.2569275,5.8762054,0
14.366572,13.666065,0
10.538902,7.508792,0
12.104668,2.1567972,0
5.724898,-0.43915087,0
10.383883,2.184663,0
16.000986,13.91147,0
13.209661,1.9674492,0
5.8099666,0.029410282,0
7.18892,1.4210515,0
6.2950816,0.58622605,0
6.3264346,0.6223959,0
8.67185,-3.0121825,0
6.4951525,0.75636774,0
9.763245,7.1220284,0
7.1274567,1.480416,0
7.1099367,1.4960983,0
11.96679,9.163851,0
10.001566,12.679406,0
11.94086,9.198646,0
9.9975,12.728197,0
10.34246,2.2427237,0
10.408852,11.000861,0
11.945059,9.188989,0
11.928364,3.7583022,0
10.844181,7.836205,0
11.227825,-2.1273887,0
13.2474575,-2.196316,0
5.5904427,4.018913,0
6.2851214,4.605942,0
10.516811,-2.2435124,0
8.611054,1.4549998,0
10.127097,12.04879,0
11.609196,3.877558,0
8.619241,1.9877708,0
10.396319,11.018128,0
11.058146,2.4990773,0
8.097032,5.743892,0
12.915937,6.0363345,0
10.404081,10.983454,0
11.78884,0.9147927,0
13.311558,10.767422,0
10.399028,5.1053553,0
7.590773,5.4356,0
15.61159,11.446268,0
12.508779,7.1499944,0
7.4967313,8.208359,0
13.9745035,2.6249983,0
13.58127,2.051532,0
9.113663,1.474143,0
11.4197235,12.387284,0
16.329,14.052745,0
10.403131,11.593513,0
5.722395,3.3869162,0
7.6663947,2.8973002,0
11.938128,9.222491,0
14.961214,12.626896,0
11.078069,13.0598345,0
11.171215,13.33118,0
11.37516,13.32103,0
11.728316,13.1489725,0
15.6305895,13.383053,0
10.832812,13.520013,0
13.044732,-0.11147225,0
15.467744,13.530925,0
13.477019,-0.91458833,0
15.727833,13.33057,0
10.551691,-2.01542,0
15.74724,13.321871,0
13.047636,1.913432,0
16.015003,13.553619,0
12.548783,8.344707,0
11.865567,3.7065578,0
12.32777,12.300085,0
10.534029,11.5967045,0
12.634535,3.1381183,0
13.380754,-0.72829044,0
10.39941,11.011287,0
14.871587,13.255531,0
14.777571,13.365556,0
14.928356,13.231989,0
14.806602,13.324012,0
13.949582,13.650402,0
14.802033,13.384027,0
14.038168,13.621177,0
13.987017,13.622975,0
12.67932,8.967175,0
13.971858,13.639793,0
10.379178,13.010886,0
6.250753,2.758586,0
11.817153,12.553763,0
13.934373,13.640388,0
13.540734,8.773637,0
13.920013,13.67388,0
13.948087,13.650402,0
13.9397745,13.654479,0
13.948478,13.646447,0
13.951107,13.650468,0
12.797211,9.10521,0
6.221503,2.8428721,0
13.938938,13.654391,0
6.1897287,2.865349,0
13.4616375,-0.7186587,0
13.947127,13.645912,0
13.941844,13.646238,0
13.970221,13.636321,0
14.933764,13.36357,0
8.855047,2.3394265,0
13.955274,13.6461,0
13.968795,13.633464,0
8.802883,2.1758318,0
13.615903,0.122606605,0
8.674825,6.060509,0
5.608445,4.6068077,0
13.955168,13.646191,0
14.04806,13.601208,0
14.053233,13.601823,0
14.103808,13.57897,0
14.027365,13.613544,0
14.018367,13.616126,0
14.16218,13.578061,0
8.64218,5.3736687,0
14.039018,13.612938,0
14.175233,13.53714,0
14.01282,13.616854,0
13.994556,13.635886,0
12.915928,1.5295196,0
13.034415,10.081283,0
14.223415,13.540078,0
14.205772,13.506491,0
10.295497,11.943705,0
14.246294,13.508279,0
13.523245,1.4356859,0
14.266466,13.52155,0
14.234516,13.524221,0
15.170498,13.260339,0
14.273199,13.474936,0
15.15412,13.252965,0
6.247612,2.3847077,0
14.217915,13.517959,0
14.229502,13.49799,0
16.108831,12.930448,0
6.287263,2.6857963,0
14.245257,13.487896,0
6.3108296,3.036958,0
15.151103,13.2411,0
14.247784,13.51083,0
14.282038,13.496194,0
14.210733,13.514797,0
14.277333,13.5016775,0
11.559602,3.65606,0
14.224701,13.502549,0
14.211753,13.493157,0
8.978337,5.391102,0
6.453648,2.8239143,0
12.399977,2.7026336,0
14.654586,12.314169,0
14.231177,13.497314,0
14.24635,13.458153,0
8.513346,1.6114111,0
14.289376,13.459545,0
15.241628,13.025901,0
10.904916,5.829909,0
14.109885,13.601422,0
14.306276,13.456735,0
14.229731,13.471613,0
15.398616,11.371018,0
9.159398,-0.90759695,0
14.152113,13.581473,0
14.102824,13.586256,0
14.110377,13.5822525,0
15.301972,13.989367,0
6.517232,0.9079429,0
5.526886,3.269696,0
14.132654,13.573456,0
14.953207,13.2006235,0
6.321909,2.8584979,0
11.50277,12.814216,0
14.917746,13.16943,0
15.664561,14.792834,0
15.144769,13.242482,0
14.962556,13.19555,0
14.912831,13.181058,0
14.896074,13.1832,0
10.260203,11.833878,0
11.040338,11.305265,0
14.8292675,13.187228,0
14.962095,13.21427,0
7.553236,5.617869,0
9.514237,7.987267,0
7.6559386,2.3779945,0
13.162588,-1.3067725,0
6.285791,2.6982317,0
9.670764,12.673164,0
14.933167,13.19072,0
